company;ticker;ipo
ADEVINTA;ADE.OL;10.04.2019
AKER-ASA;AKER.OL;08.09.2004
AKER-BP;AKRBP.OL;17.12.2007
AUTOSTORE;AUTO.OL;20.10.2021
BAKKAFROST;BAKKA.OL;26.03.2010
DNB-BANK;DNB.OL;03.01.2000
EQUINOR;EQNR.OL;18.06.2001
GJENSIDIGE;GJF.OL;10.12.2010
KONGSBERG-GRUPPEN;KOG.OL;03.01.2000
LEROY-SEAFOOD;LSG.OL;03.06.2002
MOWI;MOWI.OL;03.01.2000
NORSK-HYDRO;NHY.OL;03.01.2000
ORKLA;ORK.OL;03.01.2000
SALMAR;SALM.OL;08.05.2007
SCHIBSTED;SCHA.OL;03.01.2000
SPAREBANK-1-SR-BANK;SRBNK.OL;02.01.2012
STOREBRAND;STB.OL;03.01.2000
SUBSEA-7;SUBC.OL;03.01.2000
TELENOR;TEL.OL;04.12.2000
TOMRA;TOM.OL;03.01.2000
VAAR-ENERGI;VAR.OL;16.02.2022
YARA;YAR.OL;25.03.2004
WALLENIUS-WILHELMSEN;WAWI.OL;24.06.2010
FRONTLINE;FRO.OL;03.01.2000
HAFNIA;HAFNI.OL;08.11.2019
